question,subject
"What is voltage?",Physics
"What is resistance?",Physics
"What is Ohm's Law?",Physics
"What is frequency?",Physics
"What is wavelength?",Physics
"What is the first law of thermodynamics?",Physics
"What is entropy?",Physics
"What is a black hole?",Physics
"What is quantum mechanics?",Physics
"What is relativity?",Physics
"What is the law of conservation of energy?",Physics
"What is a capacitor?",Physics
"What is a transistor?",Physics
"What is the photoelectric effect?",Physics
"What is a photon?",Physics
"What is a magnetic field?",Physics
"What is an electric field?",Physics
"What is superconductivity?",Physics
"What is a semiconductor?",Physics
"What is Newton's Third Law?",Physics
"What is buoyancy?",Physics
"What is Pascal's Principle?",Physics
"What is Bernoulli's Principle?",Physics
"What is a simple harmonic motion?",Physics
"What is a pendulum?",Physics
"What is a lens?",Physics
"What is refraction?",Physics
"What is diffraction?",Physics
"What is polarization?",Physics
"What is the Doppler shift?",Physics
"What is a circuit?",Physics
"What is capacitance?",Physics
"What is a resistor?",Physics
"What is the photoelectric effect?",Physics
"What is an electric current?",Physics
"What is the speed?",Mathematics
"What is a prime number?",Mathematics
"What is a polynomial?",Mathematics
"What is an equation?",Mathematics
"What is a function?",Mathematics
"What is calculus?",Mathematics
"What is algebra?",Mathematics
"What is geometry?",Mathematics
"What is trigonometry?",Mathematics
"What is probability?",Mathematics
"What is statistics?",Mathematics
"What is a matrix?",Mathematics
"What is differentiation?",Mathematics
"What is integration?",Mathematics
"What is a vector?",Mathematics
"What is a scalar?",Mathematics
"What is a derivative?",Mathematics
"What is an integral?",Mathematics
"What is a limit?",Mathematics
"What is an asymptote?",Mathematics
"What is a complex number?",Mathematics
"What is a logarithm?",Mathematics
"What is an exponential function?",Mathematics
"What is a quadratic equation?",Mathematics
"What is a circle?",Mathematics
"What is a triangle?",Mathematics
"What is a polygon?",Mathematics
"What is a coordinate plane?",Mathematics
"What is a function domain?",Mathematics
"What is a range?",Mathematics
"What is the Pythagorean theorem?",Mathematics
"What is a tangent?",Mathematics
"What is a secant?",Mathematics
"What is an ellipse?",Mathematics
"What is a hyperbola?",Mathematics
"What is a permutation?",Mathematics
"What is a combination?",Mathematics
"What is a factorial?",Mathematics
"What is a series?",Mathematics
"What is a sequence?",Mathematics
"What is a binomial theorem?",Mathematics
"What is a derivative?",Mathematics
"What is a limit?",Mathematics
"What is a function?",Mathematics
"What is a real number?",Mathematics
"What is an imaginary number?",Mathematics
"What is a rational number?",Mathematics
"What is an irrational number?",Mathematics
"What is a differential equation?",Mathematics
"What is a probability distribution?",Mathematics
"What is a histogram?",Mathematics
"What is standard deviation?",Mathematics
"What is variance?",Mathematics
"What is correlation?",Mathematics
